id,reg,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,firstRegistrationDate
2144402,N729NK,True,11908,A9C631,Spirit Airlines,32Q,A21N,A21N,321-271NX,235,,,2024-08-10,2024-08-10,Airbus A321 NEO,2,Jet,False,Airbus A321 NEO,0.6,True,1,2024-08-10
20901,N114DU,True,50033,A03B6D,Delta Air Lines,CS1,BCS1,BCS1,220-171,109,2019-05-21,2019-05-21,2019-05-30,2019-05-30,Airbus A220-100,2,Jet,False,Airbus A220,5.8,True,1,2019-05-30
15680,N509AY,True,3796,A65B76,American Airlines,321,A321,A321,321-231,190,2009-02-09,2009-02-09,2009-02-18,2015-04-08,Airbus A321,2,Jet,False,Airbus A321,16.1,True,2,2009-02-18
2465,N911FJ,True,15011,AC9AE8,Mesa Airlines,CR9,CRJ9,CRJ9,CRJ-900,,,,2003-12-23,2003-12-23,Canadair CRJ 900,2,Jet,False,Canadair CRJ 900,21.2,True,1,2003-12-23
6435,N882UA,True,2505,AC2706,United Airlines,319,A319,A319,319-132,128,2005-06-28,2005-06-28,2005-07-11,2021-05-06,Airbus A319,2,Jet,False,Airbus A319,19.7,True,2,2005-07-12
2116253,N915XJ,True,15150,ACAB54,Endeavor Air,CR9,CRJ9,CRJ9,CRJ-900LR,76,,,2007-12-06,2013-06-26,Canadair CRJ 900,2,Jet,False,Canadair CRJ 900,17.3,True,3,2007-12-06
1750953,N133EV,True,15222,A086CE,Endeavor Air,CR9,CRJ9,CRJ9,CRJ-900LR,,,,,2017-11-20,Canadair CRJ 900,2,Jet,False,Canadair CRJ 900,,True,3,2009-03-31
9562,N917NN,True,29572,ACB1E5,American Airlines,738,B738,B738,B737-823,172,2013-01-29,2013-01-29,2013-02-14,2013-02-14,Boeing 737-800,2,Jet,False,Boeing 737 NG,12.1,True,1,2013-02-14
2122566,N761YX,True,17000939,AA477B,Republic Airways,E75,E175,E175,175LR,76,,2023-05-03,2023-06-01,2023-06-01,Embraer 175,2,Jet,False,Embraer ERJ170,1.9,True,1,2023-06-01
16990,N39450,True,40004,A494C5,United Airlines,739,B739,B739,B737-924ER,,2012-03-16,2012-03-16,2012-04-02,2012-04-02,Boeing 737-900,2,Jet,False,Boeing 737 NG,13.0,True,1,2012-04-02
31564,N870RW,False,17000138,ABF7E2,Envoy Air,E70,E170,E170,170SU,,,,2006-07-27,2024-01-12,Embraer 170,2,Jet,False,Embraer ERJ170,18.6,True,6,2006-07-27
26124,N876AS,True,7576,AC0CB1,West Air (USA),CR1,CRJ1,CRJ2,CRJ-200LR,50,,,2002-01-03,2017-04-24,Canadair CRJ 100,2,Jet,False,Canadair CRJ 100,23.2,True,3,2002-01-03
9546,N817NN,True,29558,AB2496,American Airlines,738,B738,B738,B737-823,172,2009-11-17,2009-11-17,2009-12-03,2009-12-03,Boeing 737-800,2,Jet,False,Boeing 737 NG,15.3,True,1,2009-12-03
27333,N364DX,True,8530,A41B89,Delta Air Lines,321,A321,A321,321-211,,2018-10-09,2018-10-09,2018-10-19,2018-10-19,Airbus A321,2,Jet,False,Airbus A321,6.4,True,1,2018-10-19
12785,N7752B,True,33943,AA7E3A,Southwest Airlines,73G,B737,B737,B737-7BD,,2008-03-12,2008-03-12,2008-03-20,2014-08-19,Boeing 737-700,2,Jet,False,Boeing 737 NG,17.0,True,3,2008-03-20
